raw,clean_text,clean,clean-default
The view point is good but it is much better to walk down to the coast nearby. It take around 45-60 minutes for small trail down there. Worth it!!,the view point is good but it is much better to walk down to the coast nearby it take around minutes for small trail down there worth it,"['the', 'view', 'point', 'is', 'good', 'but', 'it', 'is', 'much', 'better', 'to', 'walk', 'down', 'to', 'the', 'coast', 'nearby', 'it', 'take', 'around', 'minutes', 'for', 'small', 'trail', 'down', 'there', 'worth', 'it']","['view', 'point', 'good', 'well', 'walk', 'coast', 'nearby', 'minute', 'small', 'trail', 'worth']"
Amazing view point !,amazing view point,"['amazing', 'view', 'point']","['amazing', 'view', 'point']"
"Sooooooo many people, it’s so crowded it’s ridiculous. Was crazy trying to get past people and the sunset wasn’t any different then other places. Not worth going when it’s crowded",sooooooo many people it is so crowded it is ridiculous was crazy trying to get past people and the sunset was not any different then other places not worth going when it is crowded,"['sooooooo', 'many', 'people', 'it', 'is', 'so', 'crowded', 'it', 'is', 'ridiculous', 'was', 'crazy', 'trying', 'to', 'get', 'past', 'people', 'and', 'the', 'sunset', 'was', 'not', 'any', 'different', 'then', 'other', 'places', 'not', 'worth', 'going', 'when', 'it', 'is', 'crowded']","['sooooooo', 'people', 'crowded', 'ridiculous', 'crazy', 'try', 'past', 'people', 'sunset', 'not', 'different', 'place', 'not', 'worth', 'go', 'crowd']"
"The place sunset view point is a beautiful of phuket, thailand. drive from phuket downtown about 30 minutes. it's perfect!!",the place sunset view point is a beautiful of phuket thailand drive from phuket downtown about minutes it is perfect,"['the', 'place', 'sunset', 'view', 'point', 'is', 'a', 'beautiful', 'of', 'phuket', 'thailand', 'drive', 'from', 'phuket', 'downtown', 'about', 'minutes', 'it', 'is', 'perfect']","['place', 'sunset', 'view', 'point', 'beautiful', 'phuket', 'thailand', 'drive', 'phuket', 'downtown', 'minute', 'perfect']"
Best place to view Sunset in Phuket is Promthep view point. You should reach half an hour early to Sunset to view the real beauty. There is a lot of crowd so find your best place to view Sunset. You get everything to eat near this point. Don't miss coconut water.,best place to view sunset in phuket is promthep view point you should reach half an hour early to sunset to view the real beauty there is a lot of crowd so find your best place to view sunset you get everything to eat near this point do not miss coconut water,"['best', 'place', 'to', 'view', 'sunset', 'in', 'phuket', 'is', 'promthep', 'view', 'point', 'you', 'should', 'reach', 'half', 'an', 'hour', 'early', 'to', 'sunset', 'to', 'view', 'the', 'real', 'beauty', 'there', 'is', 'a', 'lot', 'of', 'crowd', 'so', 'find', 'your', 'best', 'place', 'to', 'view', 'sunset', 'you', 'get', 'everything', 'to', 'eat', 'near', 'this', 'point', 'do', 'not', 'miss', 'coconut', 'water']","['good', 'place', 'view', 'sunset', 'phuket', 'promthep', 'view', 'point', 'reach', 'half', 'hour', 'early', 'sunset', 'view', 'real', 'beauty', 'lot', 'crowd', 'find', 'good', 'place', 'view', 'sunset', 'eat', 'near', 'point', 'not', 'miss', 'coconut', 'water']"
This is not right place map. Please admin chang map place to be right place because many tourist follow your map the get to wrong place.,this is not right place map please admin chang map place to be right place because many tourist follow your map the get to wrong place,"['this', 'is', 'not', 'right', 'place', 'map', 'please', 'admin', 'chang', 'map', 'place', 'to', 'be', 'right', 'place', 'because', 'many', 'tourist', 'follow', 'your', 'map', 'the', 'get', 'to', 'wrong', 'place']","['not', 'right', 'place', 'map', 'admin', 'chang', 'map', 'place', 'right', 'place', 'tourist', 'follow', 'map', 'wrong', 'place']"
"Calm and peaceful place. Visit this place before sunset starts, find a beautiful place (maybe between coconut trees) and just enjoy the view. All the worries that you might be having will disappear. There's a small trekking spot available as well.",calm and peaceful place visit this place before sunset starts find a beautiful place maybe between coconut trees and just enjoy the view all the worries that you might be having will disappear there is a small trekking spot available as well,"['calm', 'and', 'peaceful', 'place', 'visit', 'this', 'place', 'before', 'sunset', 'starts', 'find', 'a', 'beautiful', 'place', 'maybe', 'between', 'coconut', 'trees', 'and', 'just', 'enjoy', 'the', 'view', 'all', 'the', 'worries', 'that', 'you', 'might', 'be', 'having', 'will', 'disappear', 'there', 'is', 'a', 'small', 'trekking', 'spot', 'available', 'as', 'well']","['calm', 'peaceful', 'place', 'visit', 'place', 'sunset', 'start', 'find', 'beautiful', 'place', 'maybe', 'coconut', 'tree', 'enjoy', 'view', 'worry', 'have', 'disappear', 'small', 'trekking', 'spot', 'available']"
The place is famous for its marvellous sunset. It also has a good 15-20 minute trek.Most of the tourists come here for scenic beauty and enjoy peaceful moments around the ocean. You can literally spend an hour or more at the place.Promthep Cape offers beautiful picturesque so make sure you click a lot of good pictures.,the place is famous for its marvellous sunset it also has a good minute trek.most of the tourists come here for scenic beauty and enjoy peaceful moments around the ocean you can literally spend an hour or more at the place.promthep cape offers beautiful picturesque so make sure you click a lot of good pictures,"['the', 'place', 'is', 'famous', 'for', 'its', 'marvellous', 'sunset', 'it', 'also', 'has', 'a', 'good', 'minute', 'trek.most', 'of', 'the', 'tourists', 'come', 'here', 'for', 'scenic', 'beauty', 'and', 'enjoy', 'peaceful', 'moments', 'around', 'the', 'ocean', 'you', 'can', 'literally', 'spend', 'an', 'hour', 'or', 'more', 'at', 'the', 'place.promthep', 'cape', 'offers', 'beautiful', 'picturesque', 'so', 'make', 'sure', 'you', 'click', 'a', 'lot', 'of', 'good', 'pictures']","['place', 'famous', 'marvellous', 'sunset', 'good', 'minute', 'trek.most', 'tourist', 'come', 'scenic', 'beauty', 'enjoy', 'peaceful', 'moment', 'ocean', 'literally', 'spend', 'hour', 'place.promthep', 'cape', 'offer', 'beautiful', 'picturesque', 'sure', 'click', 'lot', 'good', 'picture']"
Amazing view on the sea and islands. The path is extremely slippery and require some climbing skills for the best pictures. ,amazing view on the sea and islands the path is extremely slippery and require some climbing skills for the best pictures,"['amazing', 'view', 'on', 'the', 'sea', 'and', 'islands', 'the', 'path', 'is', 'extremely', 'slippery', 'and', 'require', 'some', 'climbing', 'skills', 'for', 'the', 'best', 'pictures']","['amazing', 'view', 'sea', 'island', 'path', 'extremely', 'slippery', 'require', 'climbing', 'skill', 'good', 'picture']"
"A must to visit this place, very stunning views especially during the sunset hours. Overlooking the Andaman Sea and also worth a visit for everyone. There are some shops selling clothes, beverages and etc. The entrance fee is FOC. Make sure to walk around in that area which will consists of ups and downs (hill), and be aware of the monkeys as well.",a must to visit this place very stunning views especially during the sunset hours overlooking the andaman sea and also worth a visit for everyone there are some shops selling clothes beverages and etc the entrance fee is foc make sure to walk around in that area which will consists of ups and downs hill and be aware of the monkeys as well,"['a', 'must', 'to', 'visit', 'this', 'place', 'very', 'stunning', 'views', 'especially', 'during', 'the', 'sunset', 'hours', 'overlooking', 'the', 'andaman', 'sea', 'and', 'also', 'worth', 'a', 'visit', 'for', 'everyone', 'there', 'are', 'some', 'shops', 'selling', 'clothes', 'beverages', 'and', 'etc', 'the', 'entrance', 'fee', 'is', 'foc', 'make', 'sure', 'to', 'walk', 'around', 'in', 'that', 'area', 'which', 'will', 'consists', 'of', 'ups', 'and', 'downs', 'hill', 'and', 'be', 'aware', 'of', 'the', 'monkeys', 'as', 'well']","['visit', 'place', 'stunning', 'view', 'especially', 'sunset', 'hour', 'overlook', 'andaman', 'sea', 'worth', 'visit', 'shop', 'sell', 'clothe', 'beverage', 'etc', 'entrance', 'fee', 'foc', 'sure', 'walk', 'area', 'consist', 'up', 'down', 'hill', 'aware', 'monkey']"
